run_id,timestamp,host_id,event_type,event_value,infected_count,susceptible_count,recovered_count
1754956664079-b1a290a1-2cfd-4d85-ad82-8de5d3e20c9f,1754956664097,f37133e4-4d4f-4b9c-b174-e958ff515f6c,step,0,1,9,0
1754956664079-b1a290a1-2cfd-4d85-ad82-8de5d3e20c9f,1754956664121,f37133e4-4d4f-4b9c-b174-e958ff515f6c,step,1,1,9,0
1754956664079-b1a290a1-2cfd-4d85-ad82-8de5d3e20c9f,1754956664121,f37133e4-4d4f-4b9c-b174-e958ff515f6c,step,2,1,9,0
1754956664079-b1a290a1-2cfd-4d85-ad82-8de5d3e20c9f,1754956664121,f37133e4-4d4f-4b9c-b174-e958ff515f6c,step,3,1,9,0
1754956664079-b1a290a1-2cfd-4d85-ad82-8de5d3e20c9f,1754956664121,f37133e4-4d4f-4b9c-b174-e958ff515f6c,step,4,1,8,1
1754956664079-b1a290a1-2cfd-4d85-ad82-8de5d3e20c9f,1754956664121,f37133e4-4d4f-4b9c-b174-e958ff515f6c,step,5,1,8,1
1754956664079-b1a290a1-2cfd-4d85-ad82-8de5d3e20c9f,1754956664121,f37133e4-4d4f-4b9c-b174-e958ff515f6c,step,6,1,8,1
1754956664079-b1a290a1-2cfd-4d85-ad82-8de5d3e20c9f,1754956664121,f37133e4-4d4f-4b9c-b174-e958ff515f6c,step,7,0,8,2
1754956664079-b1a290a1-2cfd-4d85-ad82-8de5d3e20c9f,1754956664121,f37133e4-4d4f-4b9c-b174-e958ff515f6c,step,8,0,8,2
1754956664079-b1a290a1-2cfd-4d85-ad82-8de5d3e20c9f,1754956664121,f37133e4-4d4f-4b9c-b174-e958ff515f6c,step,9,0,8,2
1754956664079-b1a290a1-2cfd-4d85-ad82-8de5d3e20c9f,1754956664121,f37133e4-4d4f-4b9c-b174-e958ff515f6c,step,10,0,8,2
1754956664079-b1a290a1-2cfd-4d85-ad82-8de5d3e20c9f,1754956664121,f37133e4-4d4f-4b9c-b174-e958ff515f6c,step,11,0,8,2
1754956664079-b1a290a1-2cfd-4d85-ad82-8de5d3e20c9f,1754956664121,f37133e4-4d4f-4b9c-b174-e958ff515f6c,step,12,0,8,2
1754956664079-b1a290a1-2cfd-4d85-ad82-8de5d3e20c9f,1754956664121,f37133e4-4d4f-4b9c-b174-e958ff515f6c,step,13,0,8,2
